relation,head_masked_acc,null_matched_acc,n,delta
object_adj_to_noun,0.041604754829123326,0.8573551263001485,673,-0.8157503714710252
object_det_to_noun,0.39496611810261373,0.5304937076476283,1033,-0.13552758954501454
object_to_verb,0.26303223239156387,0.34619976124154395,2513,-0.08316752884998008
subject_adj_to_noun,0.04746835443037975,0.7784810126582279,316,-0.7310126582278481
subject_det_to_noun,0.4,0.5698412698412698,630,-0.1698412698412698
subject_to_verb,0.1513903192584964,0.3913491246138002,2913,-0.23995880535530384
