relation,layer,head,head_select_acc,head_test_acc,head_ci_lo,head_ci_hi,null_k,null_test_acc,null_ci_hi,delta,margin,n_heads_above_null,n_heads_total,selection_rho,n_test,verdict
object_to_verb,2,11,0.8070054945054945,0.8,0.7750391631015051,0.82282440130495,-2,0.3255813953488372,0.3534883720930232,0.47441860465116287,0.4215507910084819,53,784,0.9845894873322157,1075,survives
subject_det_to_noun,4,25,0.8272859216255443,0.8323529411764706,0.7889816668686231,0.8682980014271484,1,0.6,0.6529411764705882,0.23235294117647065,0.1360404903980349,6,784,0.9781570862628847,340,survives
object_det_to_noun,4,25,0.8398637137989778,0.7893401015228426,0.7463793265898394,0.826713283405739,1,0.5609137055837563,0.6091370558375635,0.2284263959390863,0.1372422707522759,4,784,0.9805665195235106,394,survives
object_adj_to_noun,22,27,0.8959227467811158,0.9008620689655172,0.8556372887476131,0.9330281177931949,1,0.8060344827586207,0.853448275862069,0.09482758620689657,0.0021890128855441837,2,784,0.9589396462754025,232,survives
subject_to_verb,1,25,0.5056032872618603,0.5150829562594268,0.4881784569020327,0.5419003165748236,1,0.4426847662141779,0.4698340874811463,0.07239819004524889,0.01834436942088641,5,784,0.9686969157903639,1326,survives
subject_adj_to_noun,22,27,0.8720538720538721,0.8766233766233766,0.8153398649097212,0.9195747821461866,1,0.8116883116883117,0.8701298701298701,0.06493506493506496,-0.054790005220148874,3,784,0.9235290581767602,154,not distinguishable
