depth,accuracy,n_train,n_test,lexical_baseline,majority_baseline,delta_vs_lexical
0,0.8606511366825709,7581,7126,0.7698568621947797,0.16769576199831604,0.0907942744877912
2,0.9316587145663766,7581,7126,0.7698568621947797,0.16769576199831604,0.16180185237159694
4,0.9420432220039293,7581,7126,0.7698568621947797,0.16769576199831604,0.17218635980914965
6,0.9421835531855178,7581,7126,0.7698568621947797,0.16769576199831604,0.17232669099073816
8,0.9465338198147628,7581,7126,0.7698568621947797,0.16769576199831604,0.17667695761998314
10,0.941201234914398,7581,7126,0.7698568621947797,0.16769576199831604,0.17134437271961833
12,0.9230985124894752,7581,7126,0.7698568621947797,0.16769576199831604,0.1532416502946955
