layer,head,entropy,entropy_norm,entropy_no_sink,sink_mass,n_sentences,diffusion_time
0,0,2.098114912211895,0.7229394122958184,2.130527902841568,0.17438399472739546,400,63
0,1,2.3060591319203376,0.7984474281966686,2.3161560821533205,0.18292197397444399,400,63
0,2,1.8370147171616553,0.6406744340062142,1.7655598111450672,0.061307889400050046,400,63
0,3,0.5856279765069484,0.2067338091135025,0.5271497524855658,0.0458671053010039,400,63
0,4,2.4618209633231163,0.8533618876338005,2.407661879956722,0.1412296438962221,400,63
0,5,2.018066348284483,0.7009174981713295,2.023391280323267,0.16386444883886725,400,63
0,6,0.7435188249498605,0.26049017276614905,0.8097282594442368,0.1208161088777706,400,63
0,7,1.4764376056194306,0.507794291228056,1.5730887107551097,0.10012922187335789,400,63
0,8,2.1964987820386885,0.7606173306703568,2.163705207556486,0.022124746804474852,400,63
0,9,2.4291123589873314,0.840817373842001,2.381936984360218,0.03993564865726512,400,63
0,10,0.7252673008758574,0.24571842524688692,0.7981632952112705,0.07161763089941814,400,63
0,11,2.38035941272974,0.827059003263712,2.3279662181437017,0.04792174310889095,400,63
0,12,2.3330054450035096,0.8056873145699501,2.3261217790842057,0.07434763330034912,400,63
0,13,2.355451214462519,0.8142165426909923,2.3264498883485794,0.0632599823793862,400,63
0,14,0.9877114948630333,0.32670461863279343,2.4621865352988244,0.8000559229403734,400,63
0,15,0.2611757810514973,0.08839672159643669,0.2623661688435095,0.06477003598818555,400,63
0,16,2.3364733746647834,0.8082571457326412,2.327887519299984,0.10249959450447932,400,63
0,17,2.156133546382189,0.7412351483851671,2.175160984992981,0.0924321337894071,400,63
0,18,2.417891691327095,0.8350698925554753,2.3661598336696623,0.10603165125241504,400,63
0,19,2.3294272777438163,0.8066725870966911,2.2562110921740532,0.0443953331594821,400,63
0,20,1.9489331668615342,0.6761429547518492,1.9008799216151238,0.0282422410446452,400,63
0,21,1.6689712576568128,0.5807397792488337,1.6028746229410171,0.056604142398573455,400,63
0,22,2.227850793600082,0.7614177256822586,2.16725465118885,0.028927974451798944,400,63
0,23,1.9521915011107922,0.6781598734855652,1.9127295005321503,0.11288297266699374,400,63
0,24,2.012343938499689,0.6989584697782993,1.9720855221152305,0.11407740328926592,400,63
0,25,2.5056518310308458,0.8672998842597007,2.5454904133081437,0.22667009906843305,400,63
0,26,2.027319697886705,0.7041622491180897,1.9884611609578133,0.11779436714947224,400,63
