diffusion_time,depth,position_state,accuracy,n_positions
8,0,visible,1.0,1122
8,0,masked,0.0,7032
8,1,visible,0.2014260249554367,1122
8,1,masked,0.0,7032
8,2,visible,0.1408199643493761,1122
8,2,masked,0.0015642775881683731,7032
8,3,visible,0.11675579322638147,1122
8,3,masked,0.005830489192263936,7032
8,4,visible,0.07932263814616755,1122
8,4,masked,0.015358361774744027,7032
8,5,visible,0.054367201426024955,1122
8,5,masked,0.020051194539249147,7032
8,6,visible,0.0338680926916221,1122
8,6,masked,0.02573947667804323,7032
8,7,visible,0.0142602495543672,1122
8,7,masked,0.026166097838452786,7032
8,8,visible,0.0142602495543672,1122
8,8,masked,0.026166097838452786,7032
8,9,visible,0.0053475935828877,1122
8,9,masked,0.02773037542662116,7032
8,10,visible,0.0071301247771836,1122
8,10,masked,0.02289533560864619,7032
8,11,visible,0.027629233511586453,1122
8,11,masked,0.015927189988623434,7032
8,12,visible,0.05614973262032086,1122
8,12,masked,0.015500568828213879,7032
16,0,visible,1.0,1738
16,0,masked,0.0,6416
16,1,visible,0.22669735327963175,1738
16,1,masked,0.0,6416
16,2,visible,0.15822784810126583,1738
16,2,masked,0.0007793017456359103,6416
16,3,visible,0.12600690448791715,1738
16,3,masked,0.005143391521197007,6416
16,4,visible,0.08745684695051784,1738
16,4,masked,0.012624688279301745,6416
16,5,visible,0.06098964326812428,1738
16,5,masked,0.015586034912718205,6416
16,6,visible,0.0333716915995397,1738
16,6,masked,0.02119700748129676,6416
16,7,visible,0.01726121979286536,1738
16,7,masked,0.02213216957605985,6416
16,8,visible,0.014384349827387802,1738
16,8,masked,0.022288029925187032,6416
16,9,visible,0.006329113924050633,1738
16,9,masked,0.02821072319201995,6416
16,10,visible,0.006329113924050633,1738
16,10,masked,0.02524937655860349,6416
16,11,visible,0.039125431530494824,1738
16,11,masked,0.020261845386533667,6416
16,12,visible,0.04372842347525892,1738
16,12,masked,0.023534912718204487,6416
32,0,visible,0.999770009199632,4348
32,0,masked,0.0,3806
32,1,visible,0.22953081876724932,4348
32,1,masked,0.0,3806
32,2,visible,0.1534038638454462,4348
32,2,masked,0.0005254860746190226,3806
32,3,visible,0.10717571297148114,4348
32,3,masked,0.0036784025223331584,3806
32,4,visible,0.06692732290708371,4348
32,4,masked,0.00604308985811876,3806
32,5,visible,0.046688132474701015,4348
32,5,masked,0.011035207566999475,3806
32,6,visible,0.027598896044158234,4348
32,6,masked,0.01602732527588019,3806
32,7,visible,0.017249310027598896,4348
32,7,masked,0.01970572779821335,3806
32,8,visible,0.014949402023919043,4348
32,8,masked,0.02233315817130846,3806
32,9,visible,0.011269549218031279,4348
32,9,masked,0.05281135049921177,3806
32,10,visible,0.01609935602575897,4348
32,10,masked,0.06437204414083027,3806
32,11,visible,0.06370745170193193,4348
32,11,masked,0.06594850236468734,3806
32,12,visible,0.03380864765409384,4348
32,12,masked,0.07645822385706778,3806
