relation,k,null_fit_acc,n_fit,null_test_acc,null_ci_lo,null_ci_hi,n_test
object_to_verb,-2,0.3248626373626374,4368,0.3032558139534884,0.2762790697674419,0.3302325581395349,1075
subject_to_verb,1,0.45666791184161376,5354,0.44268476621417796,0.4155354449472097,0.4698340874811463,1326
object_adj_to_noun,1,0.7532188841201717,932,0.8060344827586207,0.7543103448275862,0.853448275862069,232
subject_adj_to_noun,1,0.7457912457912458,594,0.8116883116883117,0.7467532467532467,0.8701298701298701,154
object_det_to_noun,1,0.5911413969335605,1761,0.5609137055837563,0.5126903553299492,0.6091370558375635,394
subject_det_to_noun,1,0.625544267053701,1378,0.6,0.5470588235294118,0.6529411764705882,340
