treebank,timestep,normalized_progress,layer,head,entropy_mean,entropy_normalized,entropy_no_bos,bos_sink_mass,n_seeds
UD_English-EWT,0,0.0,0,0,1.7541572958882388,0.5678379898432826,2.856534252889821,0.6253918251175372,3
UD_English-EWT,0,0.0,0,1,2.7430677145230966,0.9290533570643983,2.85380942834531,0.20175917369003096,3
UD_English-EWT,0,0.0,0,2,2.90846633878562,0.9932599075016428,2.8580060666376124,0.10196903265778566,3
UD_English-EWT,0,0.0,0,3,2.710458135507146,0.9186071461178565,2.853423140413774,0.2648427457920189,3
UD_English-EWT,0,0.0,0,4,2.7064753308322262,0.9172875164636497,2.828632059970188,0.0679676399522975,3
UD_English-EWT,0,0.0,0,5,2.8849360172540113,0.9836080857639105,2.8587232709256676,0.0567118178511069,3
UD_English-EWT,0,0.0,0,6,2.782008113594003,0.9465467687187298,2.8102999409365523,0.18070959153742902,3
UD_English-EWT,0,0.0,0,7,2.1970567608791622,0.7313815003535785,2.8310994572652493,0.4806118134327762,3
UD_English-EWT,0,0.0,0,8,2.794550548160011,0.9502507940830429,2.855286946225036,0.21031417086964752,3
UD_English-EWT,0,0.0,0,9,1.796894882057534,0.5839775129745567,2.7987426796246098,0.6108191931833986,3
UD_English-EWT,0,0.0,0,10,2.5441167304098933,0.8565672569261874,2.8555373630888474,0.3368257354497095,3
UD_English-EWT,0,0.0,0,11,2.8624742223265387,0.9776110140189447,2.8292247900545924,0.013246578488834813,3
UD_English-EWT,0,0.0,0,12,2.8031135365936923,0.9533823556750199,2.846075641978634,0.14138232679691554,3
UD_English-EWT,0,0.0,0,13,2.796419286337055,0.9525202555897457,2.8496296620759813,0.20424241264213305,3
UD_English-EWT,0,0.0,0,14,2.3147144892502354,0.774917547494336,2.854745566682086,0.44532020345248813,3
UD_English-EWT,0,0.0,0,15,2.5512164598279963,0.8751949566960985,2.489590041950101,0.033050707797774324,3
UD_English-EWT,0,0.0,0,16,2.2972839995811545,0.7727485445679211,2.8557859724336634,0.4504713431774267,3
UD_English-EWT,0,0.0,0,17,2.8030612242352118,0.9521155092722732,2.8556634716974583,0.1864898094876868,3
UD_English-EWT,0,0.0,0,18,2.128588726937445,0.7079464923488638,2.8249679707764277,0.5039592273533344,3
UD_English-EWT,0,0.0,0,19,2.3669214815389914,0.7947320255751166,2.83136081939838,0.4164407253977868,3
UD_English-EWT,0,0.0,0,20,2.68155046304067,0.9078466969598186,2.8532961183558396,0.27105715476444675,3
UD_English-EWT,0,0.0,0,21,2.8866500359415355,0.9851716142045995,2.8512674042435946,0.11784379453718906,3
UD_English-EWT,0,0.0,0,22,2.5092405860867006,0.848435247774984,2.686177926148222,0.2888899707627264,3
UD_English-EWT,0,0.0,0,23,2.645902887231014,0.8961132468421602,2.7826946411953597,0.2500699103346776,3
UD_English-EWT,0,0.0,0,24,2.8335218507735456,0.9676151703127095,2.784823871375433,0.10856988473892049,3
UD_English-EWT,0,0.0,0,25,2.775600143143388,0.9477077206301558,2.748213893240267,0.13826858248851706,3
UD_English-EWT,0,0.0,0,26,2.369309074403158,0.7970786136193354,2.8335164796784924,0.40723352465025386,3
UD_English-EWT,0,0.0,0,27,2.695188651970827,0.9106620059964435,2.7880356780818247,0.22808968880381741,3
UD_English-EWT,0,0.0,0,28,2.0259000761587114,0.6687902333876474,2.8564949165927906,0.53668184993697,3
UD_English-EWT,0,0.0,0,29,0.2240794456355233,0.06893179831324053,2.8464714353853235,0.969109358764737,3
UD_English-EWT,0,0.0,0,30,2.8744937731920044,0.9825823047284872,2.838311102872338,0.09982175657352627,3
UD_English-EWT,0,0.0,0,31,2.7442358711052464,0.9307409999637656,2.850368601865456,0.15150332380126896,3
UD_English-EWT,0,0.0,1,0,2.4307678257181347,0.8423815798726889,2.4462781655983847,0.11958593316885129,3
UD_English-EWT,0,0.0,1,1,2.1914574174933095,0.7622747919598564,2.676879033527739,0.42879828765906924,3
UD_English-EWT,0,0.0,1,2,2.6424087750130014,0.9040254483946034,2.7267163894215565,0.23202211219471336,3
UD_English-EWT,0,0.0,1,3,2.437154595806299,0.8516847464800531,2.7935548302580098,0.33969707799250964,3
UD_English-EWT,0,0.0,1,4,1.185914668066254,0.4364841782533732,2.8201914976854794,0.7349439462840232,3
UD_English-EWT,0,0.0,1,5,1.7591318975055152,0.6137189457162482,2.8478911795902775,0.6067902369251668,3
UD_English-EWT,0,0.0,1,6,2.41545157272959,0.8386593018073202,2.397187838463184,0.10822230278733162,3
UD_English-EWT,0,0.0,1,7,1.5349223179732518,0.5408244965994944,2.509666178721548,0.6259521926687064,3
UD_English-EWT,0,0.0,1,8,1.1706856878403107,0.4039546493339083,2.7307280233648954,0.7693124231093568,3
UD_English-EWT,0,0.0,1,9,1.5830231136311597,0.5619637466397116,2.5819804005609837,0.6151000021096787,3
UD_English-EWT,0,0.0,1,10,2.3748040673185566,0.8186118189102966,2.441930097634675,0.18773100475775575,3
UD_English-EWT,0,0.0,1,11,0.4480973169248286,0.16798227823904302,2.823342307343509,0.9207252603573878,3
UD_English-EWT,0,0.0,1,12,1.8974154493847832,0.6650592889127835,2.817749306152427,0.5547611071763794,3
UD_English-EWT,0,0.0,1,13,2.017639230020711,0.7193934900350257,2.661938586684524,0.4661511723461047,3
UD_English-EWT,0,0.0,1,14,2.389781552748602,0.8374227294342114,2.628849939896109,0.3063185941122594,3
UD_English-EWT,0,0.0,1,15,2.054097974398097,0.711617219154952,2.0045152801633535,0.12719241009587473,3
UD_English-EWT,0,0.0,1,16,2.1383639399796888,0.7462584103147188,2.223361226704603,0.2761153210504133,3
UD_English-EWT,0,0.0,1,17,0.7828285546332109,0.30218861822059245,2.790422543313334,0.8262890403062269,3
UD_English-EWT,0,0.0,1,18,1.820225280165021,0.6275988161726728,2.3432050304986087,0.5011224406745916,3
UD_English-EWT,0,0.0,1,19,2.297195497594896,0.7969480461435893,2.27079351498781,0.1424416552292682,3
UD_English-EWT,0,0.0,1,20,1.9205547199874629,0.6749922813532131,2.843804064669895,0.5502002972885559,3
UD_English-EWT,0,0.0,1,21,0.4436431751469445,0.1709289659537334,2.8474776262794035,0.9053183118176591,3
UD_English-EWT,0,0.0,1,22,1.420880497641902,0.5067491545621815,1.3970938820005114,0.02655760304432342,3
UD_English-EWT,0,0.0,1,23,2.406196074407609,0.819438175832639,2.6597251838347953,0.3078588887112714,3
UD_English-EWT,0,0.0,1,24,1.8541761729560917,0.6509567203580356,1.7362217851023856,0.10024116291089462,3
UD_English-EWT,0,0.0,1,25,1.9237003420871464,0.6758904386250699,2.009124814161186,0.06928316860388496,3
UD_English-EWT,0,0.0,1,26,0.9805872784367676,0.3576094866145015,2.8254186325385917,0.7916243741583955,3
UD_English-EWT,0,0.0,1,27,1.2323364573098272,0.44384340335274003,1.1945286758773315,0.055727148259979736,3
UD_English-EWT,0,0.0,1,28,1.8346802308911183,0.6418653827954511,1.787891074282224,0.06767160436291186,3
UD_English-EWT,0,0.0,1,29,1.6669915175177359,0.5933494393209942,2.7563648396502427,0.6136196468208657,3
UD_English-EWT,0,0.0,1,30,1.6734045393805685,0.589477571104068,2.8544363122168783,0.6251119266930825,3
UD_English-EWT,0,0.0,1,31,1.2713951112224104,0.4727461250712637,2.7210398342440043,0.7027046502532204,3
