treebank,relation,layer,head,timestep,normalized_progress,visibility,accuracy_mean,accuracy_std,n_instances,n_seeds
UD_English-EWT,object_det_to_noun,0,3,39,0.625,both_masked,0.5935318202257828,0.08329635489991925,216,3
UD_English-EWT,object_det_to_noun,0,3,39,0.625,both_visible,0.6139713168187745,0.060793856191013365,236,3
UD_English-EWT,object_det_to_noun,0,3,39,0.625,receiver_visible_only,0.5371263259402121,0.03346065877125837,190,3
UD_English-EWT,object_det_to_noun,0,3,47,0.75,attender_visible_only,0.5515798719460047,0.03591405447000391,188,3
UD_English-EWT,object_det_to_noun,0,3,47,0.75,both_masked,0.5567099567099567,0.025493388509671814,118,3
UD_English-EWT,object_det_to_noun,0,3,47,0.75,both_visible,0.584395657168291,0.024447117516232485,365,3
UD_English-EWT,object_det_to_noun,0,3,47,0.75,receiver_visible_only,0.5622759856630825,0.019585567199278172,172,3
UD_English-EWT,object_det_to_noun,0,3,55,0.875,attender_visible_only,0.5860656762705082,0.007108681191387683,147,3
UD_English-EWT,object_det_to_noun,0,3,55,0.875,both_masked,0.5404040404040403,0.11168355751260593,23,3
UD_English-EWT,object_det_to_noun,0,3,55,0.875,both_visible,0.5563681292994056,0.02431874943268332,557,3
UD_English-EWT,object_det_to_noun,0,3,55,0.875,receiver_visible_only,0.6104241338112306,0.08729200712080787,116,3
UD_English-EWT,object_det_to_noun,0,3,63,1.0,both_visible,0.5658362989323843,0.0,843,3
UD_English-EWT,object_to_verb,2,8,0,0.0,both_masked,0.36083916083916084,0.0,2145,3
UD_English-EWT,object_to_verb,2,8,8,0.125,attender_visible_only,0.5855345911949685,0.10309095089138541,144,3
UD_English-EWT,object_to_verb,2,8,8,0.125,both_masked,0.3869763684116141,0.03181942486596716,1801,3
UD_English-EWT,object_to_verb,2,8,8,0.125,both_visible,0.5,,28,1
UD_English-EWT,object_to_verb,2,8,8,0.125,receiver_visible_only,0.08014755197853789,0.08484371312484754,172,3
UD_English-EWT,object_to_verb,2,8,16,0.25,attender_visible_only,0.5090969717955982,0.07888748344586428,280,3
UD_English-EWT,object_to_verb,2,8,16,0.25,both_masked,0.4374610734325022,0.05570283230304133,1496,3
UD_English-EWT,object_to_verb,2,8,16,0.25,both_visible,0.5202942668696093,0.08777453712787524,88,3
UD_English-EWT,object_to_verb,2,8,16,0.25,receiver_visible_only,0.1532917441351995,0.05660060107702072,281,3
UD_English-EWT,object_to_verb,2,8,24,0.375,attender_visible_only,0.5308802670540493,0.05032846517639901,414,3
UD_English-EWT,object_to_verb,2,8,24,0.375,both_masked,0.4762635316573944,0.05410645403276985,1148,3
UD_English-EWT,object_to_verb,2,8,24,0.375,both_visible,0.558300395256917,0.12480662673114226,195,3
UD_English-EWT,object_to_verb,2,8,24,0.375,receiver_visible_only,0.2253245626488729,0.06452947182815617,388,3
UD_English-EWT,object_to_verb,2,8,32,0.5,attender_visible_only,0.5361578238302197,0.028407561481356463,482,3
UD_English-EWT,object_to_verb,2,8,32,0.5,both_masked,0.510510777258547,0.05247453545962912,811,3
UD_English-EWT,object_to_verb,2,8,32,0.5,both_visible,0.5932808748303581,0.06705334338640896,348,3
UD_English-EWT,object_to_verb,2,8,32,0.5,receiver_visible_only,0.2788440992530689,0.06242362712969395,504,3
UD_English-EWT,object_to_verb,2,8,39,0.625,attender_visible_only,0.5520201841625362,0.03029996398668493,513,3
UD_English-EWT,object_to_verb,2,8,39,0.625,both_masked,0.5277065456996594,0.0277671189756046,515,3
UD_English-EWT,object_to_verb,2,8,39,0.625,both_visible,0.5992357679422815,0.06267503519538443,577,3
UD_English-EWT,object_to_verb,2,8,39,0.625,receiver_visible_only,0.341923879440688,0.10797379337753904,540,3
UD_English-EWT,object_to_verb,2,8,47,0.75,attender_visible_only,0.5767719523275079,0.03302253878623162,466,3
UD_English-EWT,object_to_verb,2,8,47,0.75,both_masked,0.57089072543618,0.004579415111034657,274,3
UD_English-EWT,object_to_verb,2,8,47,0.75,both_visible,0.6176761718503564,0.027158324278363597,904,3
UD_English-EWT,object_to_verb,2,8,47,0.75,receiver_visible_only,0.3822828288275333,0.128019915773477,501,3
UD_English-EWT,object_to_verb,2,8,55,0.875,attender_visible_only,0.6273585699373756,0.02610343789885864,316,3
UD_English-EWT,object_to_verb,2,8,55,0.875,both_masked,0.683032293377121,0.07957191401296558,81,3
UD_English-EWT,object_to_verb,2,8,55,0.875,both_visible,0.6080047734558097,0.028009182358207506,1416,3
UD_English-EWT,object_to_verb,2,8,55,0.875,receiver_visible_only,0.4261162915527594,0.11599063168058076,332,3
UD_English-EWT,object_to_verb,2,8,63,1.0,both_visible,0.5678321678321678,0.0,2145,3
UD_English-EWT,subject_adj_to_noun,0,3,0,0.0,both_masked,0.71875,0.0,288,3
UD_English-EWT,subject_adj_to_noun,0,3,8,0.125,attender_visible_only,0.7564102564102564,0.25024642687106585,18,3
UD_English-EWT,subject_adj_to_noun,0,3,8,0.125,both_masked,0.7117342782665363,0.021264537229187374,245,3
UD_English-EWT,subject_adj_to_noun,0,3,8,0.125,both_visible,0.6666666666666666,,3,1
UD_English-EWT,subject_adj_to_noun,0,3,8,0.125,receiver_visible_only,0.6875,0.16535945694153692,22,3
UD_English-EWT,subject_adj_to_noun,0,3,16,0.25,attender_visible_only,0.7516233766233765,0.11750152064414003,37,3
UD_English-EWT,subject_adj_to_noun,0,3,16,0.25,both_masked,0.6795048126101477,0.0648291099438468,202,3
UD_English-EWT,subject_adj_to_noun,0,3,16,0.25,both_visible,0.7727272727272728,0.25308019831045553,14,3
UD_English-EWT,subject_adj_to_noun,0,3,16,0.25,receiver_visible_only,0.6722222222222222,0.2936046724827514,35,3
UD_English-EWT,subject_adj_to_noun,0,3,24,0.375,attender_visible_only,0.7377560710894043,0.12090675355084517,54,3
UD_English-EWT,subject_adj_to_noun,0,3,24,0.375,both_masked,0.6697115384615385,0.06578462201824099,162,3
UD_English-EWT,subject_adj_to_noun,0,3,24,0.375,both_visible,0.7746031746031745,0.0977447893227978,22,3
UD_English-EWT,subject_adj_to_noun,0,3,24,0.375,receiver_visible_only,0.7442028985507246,0.1455187217600976,50,3
UD_English-EWT,subject_adj_to_noun,0,3,32,0.5,attender_visible_only,0.6836677814938685,0.07104727808151458,69,3
UD_English-EWT,subject_adj_to_noun,0,3,32,0.5,both_masked,0.6874074074074074,0.04105601914237338,115,3
UD_English-EWT,subject_adj_to_noun,0,3,32,0.5,both_visible,0.7361111111111112,0.10485881160098269,36,3
UD_English-EWT,subject_adj_to_noun,0,3,32,0.5,receiver_visible_only,0.7622498274672188,0.06280098437768043,68,3
UD_English-EWT,subject_adj_to_noun,0,3,39,0.625,attender_visible_only,0.6941025641025641,0.05502196082992701,75,3
UD_English-EWT,subject_adj_to_noun,0,3,39,0.625,both_masked,0.6608893557422969,0.08531121328998846,85,3
UD_English-EWT,subject_adj_to_noun,0,3,39,0.625,both_visible,0.7202797202797203,0.10157929403030733,57,3
UD_English-EWT,subject_adj_to_noun,0,3,39,0.625,receiver_visible_only,0.7594202898550725,0.09378950543399094,71,3
UD_English-EWT,subject_adj_to_noun,0,3,47,0.75,attender_visible_only,0.7576923076923077,0.09858465859981767,59,3
UD_English-EWT,subject_adj_to_noun,0,3,47,0.75,both_masked,0.6579520697167757,0.1940343710519592,43,3
UD_English-EWT,subject_adj_to_noun,0,3,47,0.75,both_visible,0.7041950113378684,0.10924687880289749,115,3
UD_English-EWT,subject_adj_to_noun,0,3,47,0.75,receiver_visible_only,0.7205797101449276,0.09551505323154469,71,3
UD_English-EWT,subject_adj_to_noun,0,3,55,0.875,attender_visible_only,0.6912878787878788,0.05691280000498761,39,3
UD_English-EWT,subject_adj_to_noun,0,3,55,0.875,both_masked,0.8888888888888888,0.19245008972987526,13,3
UD_English-EWT,subject_adj_to_noun,0,3,55,0.875,both_visible,0.7288344601777438,0.04406712956347145,195,3
UD_English-EWT,subject_adj_to_noun,0,3,55,0.875,receiver_visible_only,0.663003663003663,0.15861271131583127,41,3
UD_English-EWT,subject_adj_to_noun,0,3,63,1.0,both_visible,0.71875,0.0,288,3
UD_English-EWT,subject_det_to_noun,0,3,0,0.0,both_masked,0.6525821596244131,0.0,639,3
UD_English-EWT,subject_det_to_noun,0,3,8,0.125,attender_visible_only,0.45426065162907275,0.3934113681246323,49,3
UD_English-EWT,subject_det_to_noun,0,3,8,0.125,both_masked,0.6562947888025287,0.00802301557988775,526,3
UD_English-EWT,subject_det_to_noun,0,3,8,0.125,both_visible,0.6,,10,1
UD_English-EWT,subject_det_to_noun,0,3,8,0.125,receiver_visible_only,0.6121693121693123,0.10749598870252614,54,3
UD_English-EWT,subject_det_to_noun,0,3,16,0.25,attender_visible_only,0.5530417295123178,0.2270189521570457,90,3
UD_English-EWT,subject_det_to_noun,0,3,16,0.25,both_masked,0.6617618492618492,0.006920290965163592,422,3
UD_English-EWT,subject_det_to_noun,0,3,16,0.25,both_visible,0.5,0.5,29,3
UD_English-EWT,subject_det_to_noun,0,3,16,0.25,receiver_visible_only,0.7234413096482063,0.09609730428384025,98,3
UD_English-EWT,subject_det_to_noun,0,3,24,0.375,attender_visible_only,0.6244588744588745,0.1472299081876966,119,3
UD_English-EWT,subject_det_to_noun,0,3,24,0.375,both_masked,0.6433574453420449,0.032826000266150485,332,3
UD_English-EWT,subject_det_to_noun,0,3,24,0.375,both_visible,0.5174603174603174,0.20344723771443954,58,3
UD_English-EWT,subject_det_to_noun,0,3,24,0.375,receiver_visible_only,0.7238722984485696,0.046753078784645,130,3
UD_English-EWT,subject_det_to_noun,0,3,32,0.5,attender_visible_only,0.6149266247379455,0.11790299733559813,148,3
