treebank,timestep,normalized_progress,layer,head,entropy_mean,entropy_normalized,entropy_no_bos,bos_sink_mass,n_seeds
UD_English-EWT,0,0.0,0,0,0.5282352373736804,0.1841684251689443,2.7437855642024283,0.8963828727684385,3
UD_English-EWT,0,0.0,0,1,2.531612448842148,0.8885967604000632,2.697395231554417,0.06899957844346273,3
UD_English-EWT,0,0.0,0,2,0.7636559915428606,0.2638132293520957,2.747244997754123,0.8425820690523732,3
UD_English-EWT,0,0.0,0,3,0.4784071036293858,0.17498518449624254,0.41262636341846703,0.024432493179089954,3
UD_English-EWT,0,0.0,0,4,1.0671473169098786,0.3640606027047317,2.65662483113711,0.7735587388602762,3
UD_English-EWT,0,0.0,0,5,2.4386835439446193,0.8497399438895372,2.7060264469495885,0.1847864357255847,3
UD_English-EWT,0,0.0,0,6,2.631822488184184,0.9232793304557104,2.742773026065097,0.0594546918813241,3
UD_English-EWT,0,0.0,0,7,1.6399578851103132,0.5722765462280371,2.066209427645949,0.4723256172337493,3
UD_English-EWT,0,0.0,0,8,2.0440643140689922,0.7071736722956526,2.748841510770099,0.5228110099506509,3
UD_English-EWT,0,0.0,0,9,2.6373458959040095,0.9270947206642589,2.746406336625417,0.2571372694229005,3
UD_English-EWT,0,0.0,0,10,2.685744734898291,0.9497114214906311,2.6527921676310036,0.10206207024223614,3
UD_English-EWT,0,0.0,0,11,2.4934616404804375,0.8870234567659709,2.414413006090727,0.06101078710574759,3
UD_English-EWT,0,0.0,1,0,1.021837039560568,0.36826195007589213,1.0379084300636594,0.1329432750385397,3
UD_English-EWT,0,0.0,1,1,0.8143522504900322,0.2947736138293969,0.8305006387129508,0.1917577691762988,3
UD_English-EWT,0,0.0,1,2,2.256338363869594,0.7864170524674644,2.676360595421713,0.3651180162089444,3
UD_English-EWT,0,0.0,1,3,2.2564680415098786,0.7985574592197442,2.2867422699928284,0.22296817384945236,3
UD_English-EWT,0,0.0,1,4,1.9947207802957525,0.7124612541919966,2.023494980700029,0.20442639350321123,3
UD_English-EWT,0,0.0,1,5,2.3841469975117127,0.8475995613447344,2.5253795170393145,0.3006452034975662,3
UD_English-EWT,0,0.0,1,6,1.6010611803153825,0.5868636403099149,2.5687943680690286,0.5690593779331348,3
UD_English-EWT,0,0.0,1,7,2.3742265020563305,0.8470855548102026,2.4108402058075034,0.20969906201983082,3
UD_English-EWT,0,0.0,1,8,2.60537258311699,0.9208430671355913,2.5632550906939584,0.096681340363467,3
UD_English-EWT,0,0.0,1,9,2.7023363352799024,0.9574913131248947,2.6851851677959733,0.1665574905253906,3
UD_English-EWT,0,0.0,1,10,2.4553977708673216,0.8803449648661733,2.6220075947339416,0.24998719816203,3
UD_English-EWT,0,0.0,1,11,2.4374114952452195,0.8551210077598648,2.4783809346253753,0.09676581791658057,3
UD_English-EWT,0,0.0,2,0,1.2076872946297537,0.43479365917937396,1.1728417752056175,0.040081579395146186,3
UD_English-EWT,0,0.0,2,1,0.21863219396419864,0.08096438087181573,2.6444279165541538,0.9237912293177485,3
UD_English-EWT,0,0.0,2,2,0.19485668833952785,0.07586486053462443,0.1947960070756778,7.292448594218511e-06,3
UD_English-EWT,0,0.0,2,3,0.5212739325367688,0.1856459962063073,0.6457786431403759,0.13871434511861108,3
UD_English-EWT,0,0.0,2,4,0.9055739048400212,0.32320924478516744,1.0129263653455536,0.060833861322340664,3
UD_English-EWT,0,0.0,2,5,0.13519219778315292,0.052467539472870355,0.2149087379131812,0.18045926922576025,3
UD_English-EWT,0,0.0,2,6,1.7669142886100573,0.6162146571121512,2.030490901952233,0.21736419630934142,3
UD_English-EWT,0,0.0,2,7,2.0561662463705397,0.7032964117581049,2.1812206939921355,0.06641705935474872,3
UD_English-EWT,0,0.0,2,8,0.8857743031665927,0.31459046667573637,1.0407379637650453,0.19684584157368365,3
UD_English-EWT,0,0.0,2,9,0.8591547092127669,0.30289963414943893,1.0593988222014057,0.20733848572937683,3
UD_English-EWT,0,0.0,2,10,1.618439669736096,0.5736242230145844,1.7599071291952189,0.0688781358729132,3
UD_English-EWT,0,0.0,2,11,1.140635325364728,0.3786474562501038,2.1237783812271442,0.721265961034376,3
UD_English-EWT,0,0.0,3,0,1.1129791488250096,0.38947427809493634,2.4648136245748384,0.7567887589579723,3
UD_English-EWT,0,0.0,3,1,1.8628298948045636,0.655944960888905,1.7665686249081556,0.2260931966281776,3
UD_English-EWT,0,0.0,3,2,0.6192964047112101,0.22371169921503561,0.6132686177645225,0.08313420698901669,3
UD_English-EWT,0,0.0,3,3,0.5171798533592068,0.1827159547006585,1.2744942546053661,0.8462602915496774,3
UD_English-EWT,0,0.0,3,4,0.9236664505767042,0.3033504459820719,2.676106241394262,0.7959625845154127,3
UD_English-EWT,0,0.0,3,5,0.19456917869914425,0.07337125896693313,2.597238558889087,0.9280770777678881,3
UD_English-EWT,0,0.0,3,6,1.2666461662353714,0.45148177345037827,1.2520444871135097,0.20755117013032645,3
UD_English-EWT,0,0.0,3,7,1.1296169112126033,0.39961602802473123,1.028014049178264,0.22291462834863393,3
UD_English-EWT,0,0.0,3,8,1.040080625747071,0.3634512097857409,1.1019957920566934,0.3216781006881692,3
UD_English-EWT,0,0.0,3,9,1.3014125090316344,0.44135447643771314,1.7290154775309432,0.5121064609517165,3
UD_English-EWT,0,0.0,3,10,1.675372990469138,0.5765217120191622,1.8533523250473,0.2783452892851573,3
UD_English-EWT,0,0.0,3,11,1.1137068721521748,0.38144903456717055,1.48747177609329,0.4833144125391226,3
UD_English-EWT,0,0.0,4,0,0.2583096664744974,0.09528941482375926,1.406804134122661,0.915745342608358,3
