treebank,timestep,normalized_progress,depth,position_state,top1,top5,mrr,mean_rank,n_positions,n_seeds
UD_English-EWT,0,0.0,0,masked,0.0,0.012983202523289078,0.006557098320140752,20897.34343137974,40899,3
UD_English-EWT,0,0.0,0,visible,1.0,1.0,1.0,1.0,2196,3
UD_English-EWT,0,0.0,1,masked,0.00022005428005574708,0.0005134599867967432,0.001475722713880507,9148.945353187119,40899,3
UD_English-EWT,0,0.0,1,visible,0.0,0.0,0.02653800297936379,40.173497267759565,2196,3
UD_English-EWT,0,0.0,2,masked,7.335142668524903e-05,0.002200542800557471,0.00404502418065889,6328.012543093963,40899,3
UD_English-EWT,0,0.0,2,visible,0.0,0.0,2.132700684593234e-05,46943.70765027322,2196,3
UD_English-EWT,0,0.0,3,masked,0.003960977041003447,0.010635956869361108,0.010709472160892677,5599.421697352013,40899,3
UD_English-EWT,0,0.0,3,visible,0.0,0.0,2.07016442041542e-05,48308.424863387976,2196,3
UD_English-EWT,0,0.0,4,masked,0.012543093963177585,0.022885645125797698,0.024626256540324163,5145.603095430206,40899,3
UD_English-EWT,0,0.0,4,visible,0.0,0.0,2.0542109279868457e-05,48681.901639344265,2196,3
UD_English-EWT,0,0.0,5,masked,0.020905156605295974,0.05809432993471723,0.04414848589919749,4764.149710261865,40899,3
UD_English-EWT,0,0.0,5,visible,0.0,0.0,2.043534127008999e-05,48935.579234972676,2196,3
UD_English-EWT,0,0.0,6,masked,0.022885645125797698,0.0872148463287611,0.05429729366863864,4475.406000146703,40899,3
UD_English-EWT,0,0.0,6,visible,0.0,0.0,2.0325738389790185e-05,49198.765027322406,2196,3
UD_English-EWT,0,0.0,7,masked,0.02354580796596494,0.10753319152057507,0.065719686452243,4223.249321499303,40899,3
UD_English-EWT,0,0.0,7,visible,0.0,0.0,2.0168523274619575e-05,49582.23224043716,2196,3
UD_English-EWT,0,0.0,8,masked,0.024499376512873174,0.09454998899728599,0.06256746652105298,4325.742903249468,40899,3
UD_English-EWT,0,0.0,8,visible,0.0,0.0,2.0114120198236737e-05,49716.337431693995,2196,3
UD_English-EWT,0,0.0,9,masked,0.02097850803198122,0.07760580943299347,0.057711908263244203,4470.619746204064,40899,3
UD_English-EWT,0,0.0,9,visible,0.0,0.0,2.0080898970201137e-05,49798.57786885245,2196,3
UD_English-EWT,0,0.0,10,masked,0.010342551162620114,0.07401158952541627,0.04782515008238844,4730.535465414802,40899,3
UD_English-EWT,0,0.0,10,visible,0.0,0.0,2.0089471347321874e-05,49777.32786885245,2196,3
UD_English-EWT,0,0.0,11,masked,0.0026406513606689655,0.07093082960463581,0.03183259914488735,5469.53883958043,40899,3
UD_English-EWT,0,0.0,11,visible,0.0,0.0,2.007093604289841e-05,49823.31010928962,2196,3
UD_English-EWT,0,0.0,12,masked,0.010269199735934863,0.08244700359421991,0.04886905841394682,5674.796743196656,40899,3
UD_English-EWT,0,0.0,12,visible,0.0,0.0,2.356039285398175e-05,43151.48633879781,2196,3
UD_English-EWT,16,0.25,0,masked,0.0,0.011282665006869842,0.00592037330743796,21126.814709841987,32986,3
UD_English-EWT,16,0.25,0,visible,1.0,1.0,1.0,1.0,10109,3
UD_English-EWT,16,0.25,1,masked,0.00010988520723873386,0.00047230199498071046,0.001146520368629436,10157.494636999778,32986,3
UD_English-EWT,16,0.25,1,visible,0.2031224899419111,0.2782905007480467,0.24725263331764924,3906.259925502742,10109,3
UD_English-EWT,16,0.25,2,masked,0.0006251319780615541,0.0049176120172867545,0.0067392663032784135,6154.890818892892,32986,3
UD_English-EWT,16,0.25,2,visible,0.1404213250385679,0.2183065117270966,0.17829558482851396,14564.892529875608,10109,3
UD_English-EWT,16,0.25,3,masked,0.004926538238472093,0.020101132848348194,0.01716928858052041,5418.786131532252,32986,3
UD_English-EWT,16,0.25,3,visible,0.10576545386525456,0.18866717430865135,0.14688349895332953,15544.582674465506,10109,3
UD_English-EWT,16,0.25,4,masked,0.01164340678086593,0.034767426315507576,0.029022058133945736,5184.468753644543,32986,3
UD_English-EWT,16,0.25,4,visible,0.0664975509663873,0.1455860967119176,0.1066497852120088,16022.672334686446,10109,3
UD_English-EWT,16,0.25,5,masked,0.014634163827651226,0.05917918589597652,0.041564155606879566,4802.306916098093,32986,3
UD_English-EWT,16,0.25,5,visible,0.044424818652105735,0.10417930290962374,0.07614683963785111,15657.218748771249,10109,3
UD_English-EWT,16,0.25,6,masked,0.01888208293238132,0.08403700980757507,0.05407058272814628,4524.911835042385,32986,3
UD_English-EWT,16,0.25,6,visible,0.02912929708808192,0.07201406084919289,0.05529977785991627,15502.837918418852,10109,3
UD_English-EWT,16,0.25,7,masked,0.02012029587003852,0.09798392254329362,0.062044464079852236,4296.2060582913255,32986,3
UD_English-EWT,16,0.25,7,visible,0.015050780226324938,0.04375936977257797,0.035677242479822624,14463.379918757608,10109,3
UD_English-EWT,16,0.25,8,masked,0.022542340496819593,0.10433629866476722,0.06743813724924276,4115.839242098015,32986,3
UD_English-EWT,16,0.25,8,visible,0.012372991800839957,0.03820561629300046,0.032533666491862845,14224.104520301908,10109,3
UD_English-EWT,16,0.25,9,masked,0.030995550838579505,0.11074708511506796,0.07556043729667532,3979.960387441228,32986,3
UD_English-EWT,16,0.25,9,visible,0.00673160835791398,0.024916953226436358,0.022357624882166287,14331.210517757581,10109,3
UD_English-EWT,16,0.25,10,masked,0.02934416377481273,0.1097524673590381,0.0733501184124008,3647.598433257575,32986,3
UD_English-EWT,16,0.25,10,visible,0.00870193873920318,0.03735134870985791,0.029855637707688048,13871.10578643367,10109,3
UD_English-EWT,16,0.25,11,masked,0.023806396143299758,0.09456574136910416,0.0630573639456972,3603.9288365565117,32986,3
UD_English-EWT,16,0.25,11,visible,0.03844657020421948,0.09133483542427047,0.07077882726097966,13651.782741973138,10109,3
UD_English-EWT,16,0.25,12,masked,0.026109067986570724,0.10285391451188956,0.06970932400806103,3565.2131031075537,32986,3
UD_English-EWT,16,0.25,12,visible,0.04069214930274657,0.11952693207174676,0.08772215403895474,12006.868511311552,10109,3
UD_English-EWT,32,0.5,0,masked,0.0,0.009793175316679824,0.0053103293388729175,21498.363252534913,23470,3
