diffusion_time,depth,position_state,accuracy,n_positions
8,0,visible,0.0,1493
8,0,masked,0.0,6772
8,1,visible,0.0026791694574681848,1493
8,1,masked,0.01772002362669817,6772
8,2,visible,0.0026791694574681848,1493
8,2,masked,0.003691671588895452,6772
8,3,visible,0.0020093770931011385,1493
8,3,masked,0.002362669816893089,6772
8,4,visible,0.0006697923643670462,1493
8,4,masked,0.0025103366804489075,6772
8,5,visible,0.0020093770931011385,1493
8,5,masked,0.0026580035440047253,6772
8,6,visible,0.008037508372404554,1493
8,6,masked,0.006792675723567632,6772
8,7,visible,0.010716677829872739,1493
8,7,masked,0.009893679858239812,6772
8,8,visible,0.017414601473543203,1493
8,8,masked,0.008121677495569994,6772
8,9,visible,0.02813127930341594,1493
8,9,masked,0.005759007678676905,6772
8,10,visible,0.013395847287340924,1493
8,10,masked,0.005316007088009451,6772
8,11,visible,0.013395847287340924,1493
8,11,masked,0.008121677495569994,6772
8,12,visible,0.012056262558606833,1493
8,12,masked,0.0070880094506792675,6772
8,13,visible,0.013395847287340924,1493
8,13,masked,0.006940342587123449,6772
8,14,visible,0.014735432016075016,1493
8,14,masked,0.00915534554046072,6772
8,15,visible,0.013395847287340924,1493
8,15,masked,0.00767867690490254,6772
8,16,visible,0.010046885465505693,1493
8,16,masked,0.007974010632014175,6772
8,17,visible,0.008037508372404554,1493
8,17,masked,0.0066450088600118135,6772
8,18,visible,0.010716677829872739,1493
8,18,masked,0.006349675132900177,6772
8,19,visible,0.010716677829872739,1493
8,19,masked,0.009746012994683993,6772
8,20,visible,0.009377093101138647,1493
8,20,masked,0.009746012994683993,6772
8,21,visible,0.018754186202277295,1493
8,21,masked,0.016391021854695806,6772
8,22,visible,0.01942397856664434,1493
8,22,masked,0.019492025989367986,6772
8,23,visible,0.014735432016075016,1493
8,23,masked,0.023183697578263437,6772
8,24,visible,0.018754186202277295,1493
8,24,masked,0.021854695806261076,6772
8,25,visible,0.016075016744809108,1493
8,25,masked,0.023331364441819255,6772
8,26,visible,0.010046885465505693,1493
8,26,masked,0.029681039574719435,6772
8,27,visible,0.009377093101138647,1493
8,27,masked,0.03396337861783816,6772
8,28,visible,0.006697923643670462,1493
8,28,masked,0.040756054341405785,6772
16,0,visible,0.0,3128
16,0,masked,0.0,5137
16,1,visible,0.00159846547314578,3128
16,1,masked,0.011485302705859452,5137
16,2,visible,0.0025575447570332483,3128
16,2,masked,0.0035039906560249173,5137
16,3,visible,0.00319693094629156,3128
16,3,masked,0.003114658360911038,5137
16,4,visible,0.00159846547314578,3128
16,4,masked,0.0019466614755693985,5137
16,5,visible,0.00159846547314578,3128
16,5,masked,0.002530659918240218,5137
16,6,visible,0.0019181585677749361,3128
16,6,masked,0.005061319836480436,5137
16,7,visible,0.005115089514066497,3128
16,7,masked,0.008370644344948414,5137
16,8,visible,0.01694373401534527,3128
16,8,masked,0.007202647459606774,5137
16,9,visible,0.019820971867007674,3128
16,9,masked,0.007202647459606774,5137
16,10,visible,0.007352941176470588,3128
16,10,masked,0.007202647459606774,5137
16,11,visible,0.008951406649616368,3128
16,11,masked,0.008175978197391473,5137
16,12,visible,0.007033248081841432,3128
16,12,masked,0.008565310492505354,5137
16,13,visible,0.008951406649616368,3128
16,13,masked,0.007397313607163714,5137
16,14,visible,0.0079923273657289,3128
16,14,masked,0.011485302705859452,5137
16,15,visible,0.006713554987212276,3128
16,15,masked,0.009538641230290053,5137
16,16,visible,0.006713554987212276,3128
16,16,masked,0.009733307377846992,5137
16,17,visible,0.006074168797953964,3128
16,17,masked,0.009927973525403932,5137
16,18,visible,0.006713554987212276,3128
16,18,masked,0.010511971968074752,5137
16,19,visible,0.007352941176470588,3128
16,19,masked,0.013626630328985789,5137
16,20,visible,0.005434782608695652,3128
16,20,masked,0.017130620985010708,5137
16,21,visible,0.01438618925831202,3128
16,21,masked,0.02433326844461748,5137
16,22,visible,0.011508951406649617,3128
16,22,masked,0.029589254428654857,5137
16,23,visible,0.009910485933503837,3128
16,23,masked,0.04379988320031147,5137
16,24,visible,0.010869565217391304,3128
16,24,masked,0.044967880085653104,5137
16,25,visible,0.012148337595907928,3128
16,25,masked,0.04399454934786841,5137
16,26,visible,0.015664961636828643,3128
16,26,masked,0.05411718902082928,5137
16,27,visible,0.01118925831202046,3128
16,27,masked,0.04535721238076698,5137
16,28,visible,0.005115089514066497,3128
16,28,masked,0.05022386606969048,5137
32,0,visible,0.0,5392
32,0,masked,0.0,2873
32,1,visible,0.002781899109792285,5392
32,1,masked,0.010790114862513052,2873
32,2,visible,0.004451038575667656,5392
32,2,masked,0.001740341106856944,2873
32,3,visible,0.004636498516320474,5392
32,3,masked,0.001740341106856944,2873
32,4,visible,0.004080118694362018,5392
32,4,masked,0.004176818656456666,2873
32,5,visible,0.002967359050445104,5392
32,5,masked,0.004176818656456666,2873
32,6,visible,0.004265578635014837,5392
32,6,masked,0.0038287504350852765,2873
32,7,visible,0.00556379821958457,5392
32,7,masked,0.006613296206056387,2873
32,8,visible,0.01279673590504451,5392
32,8,masked,0.008005569091541943,2873
32,9,visible,0.015022255192878338,5392
32,9,masked,0.008005569091541943,2873
32,10,visible,0.008716617210682493,5392
32,10,masked,0.007309432648799165,2873
32,11,visible,0.009272997032640949,5392
32,11,masked,0.009745910198398886,2873
32,12,visible,0.007789317507418398,5392
32,12,masked,0.006961364427427776,2873
32,13,visible,0.008902077151335312,5392
32,13,masked,0.010442046641141664,2873
32,14,visible,0.007047477744807121,5392
32,14,masked,0.01427079707622694,2873
32,15,visible,0.005934718100890208,5392
32,15,masked,0.010442046641141664,2873
32,16,visible,0.005934718100890208,5392
32,16,masked,0.013226592412112773,2873
32,17,visible,0.005007418397626113,5392
32,17,masked,0.015315001740341106,2873
32,18,visible,0.0066765578635014835,5392
32,18,masked,0.016707274625826662,2873
32,19,visible,0.008716617210682493,5392
32,19,masked,0.027845457709711103,2873
32,20,visible,0.00908753709198813,5392
32,20,masked,0.02888966237382527,2873
32,21,visible,0.015764094955489614,5392
32,21,masked,0.048033414549251655,2873
32,22,visible,0.015022255192878338,5392
32,22,masked,0.06648103028193526,2873
32,23,visible,0.015022255192878338,5392
32,23,masked,0.0866689871214758,2873
32,24,visible,0.01836053412462908,5392
32,24,masked,0.09676296554124608,2873
32,25,visible,0.01817507418397626,5392
32,25,masked,0.09154194222067526,2873
32,26,visible,0.019844213649851634,5392
32,26,masked,0.09328228332753219,2873
32,27,visible,0.01279673590504451,5392
32,27,masked,0.07587887225896275,2873
32,28,visible,0.007789317507418398,5392
32,28,masked,0.07553080403759137,2873
