model,best_depth,peak_accuracy,lexical_baseline,delta_vs_lexical
dream_7b,4,0.9404644616467276,0.7735397607318789,0.1669247009148488
diffugpt,8,0.9465338198147628,0.7698568621947797,0.1766769576199831
