relation,layer,head,head_select_acc,head_test_acc,head_ci_lo,head_ci_hi,null_k,null_test_acc,null_ci_hi,delta,margin,n_heads_above_null,n_heads_total,selection_rho,n_test,verdict
object_to_verb,3,11,0.8571428571428571,0.8530232558139534,0.830600116978873,0.872932356485467,-2,0.3032558139534884,0.3302325581395349,0.549767441860465,0.5003675588393381,136,1024,0.9943899496537916,1075,survives
object_det_to_noun,18,10,0.8779102782509938,0.8857868020304569,0.8505858040536222,0.9135376759404824,1,0.5609137055837563,0.6091370558375635,0.3248730964467006,0.24144874821605866,37,1024,0.9938637172697072,394,survives
subject_det_to_noun,18,10,0.8853410740203193,0.9029411764705882,0.866826509331312,0.9300523805494022,1,0.6,0.6529411764705882,0.3029411764705882,0.21388533286072375,31,1024,0.9937453659531208,340,survives
subject_to_verb,24,10,0.7058274187523347,0.6704374057315233,0.6446766154103911,0.6952135248780869,1,0.4426847662141779,0.4698340874811463,0.2277526395173453,0.17484252792924482,38,1024,0.9959177356267436,1326,survives
subject_adj_to_noun,18,10,0.8939393939393939,0.9285714285714286,0.8766319291443342,0.9596502554365264,1,0.8116883116883117,0.8701298701298701,0.1168831168831169,0.006502059014464101,7,1024,0.9833004885279366,154,survives
object_adj_to_noun,18,10,0.9023605150214592,0.8793103448275862,0.8310993328184618,0.915164707779292,1,0.8060344827586207,0.853448275862069,0.0732758620689655,-0.022348943043607128,12,1024,0.9919771341175068,232,not distinguishable
