relation,layer,head,head_select_acc,head_test_acc,head_ci_lo,head_ci_hi,null_k,null_test_acc,null_ci_hi,delta,margin,n_heads_above_null,n_heads_total,selection_rho,n_test,verdict
object_to_verb,4,0,0.8127289377289377,0.8018604651162791,0.7769762893387634,0.8245949560872666,-2,0.3237209302325581,0.3516279069767442,0.47813953488372096,0.4253483823620192,29,144,0.9958692020988336,1075,survives
object_det_to_noun,4,3,0.706984667802385,0.7233502538071066,0.6771833136050422,0.7652039642862813,1,0.5609137055837563,0.6091370558375635,0.1624365482233503,0.06804625776747875,6,144,0.9885363530082343,394,survives
subject_to_verb,6,1,0.5554725438924168,0.5588235294117647,0.5319665641752217,0.5853406523845185,1,0.4426847662141779,0.4698340874811463,0.11613876319758681,0.0621324766940754,8,144,0.9967556055290074,1326,survives
subject_det_to_noun,4,3,0.6422351233671988,0.6529411764705882,0.6008873193986398,0.7015776607020693,1,0.6,0.6529411764705882,0.05294117647058827,-0.05205385707194843,4,144,0.993365073791145,340,not distinguishable
object_adj_to_noun,6,1,0.8165236051502146,0.8103448275862069,0.7550022656037185,0.8555774039762618,1,0.8060344827586207,0.853448275862069,0.004310344827586188,-0.09844601025835042,1,144,0.9932155953716718,232,not distinguishable
subject_adj_to_noun,6,1,0.7710437710437711,0.7012987012987013,0.624830182743683,0.767969025165509,1,0.8116883116883117,0.8701298701298701,-0.11038961038961037,-0.24529968738618713,0,144,0.9822930305991916,154,not distinguishable
