layer,head,object_adj_to_noun,object_det_to_noun,object_to_verb,subject_adj_to_noun,subject_det_to_noun,subject_to_verb,adjacent_mean,distant_mean,max_relation,second_relation,selectivity,adjacency_bias
0,0,0.1724137931034483,0.0406091370558375,0.1255813953488372,0.2597402597402597,0.0764705882352941,0.1546003016591252,0.13730844453370988,0.14009084850398118,0.2597402597402597,0.1724137931034483,0.08732646663681143,-0.0027824039702712966
0,1,0.1379310344827586,0.0076142131979695,0.081860465116279,0.1623376623376623,0.0088235294117647,0.0588235294117647,0.07917660985753877,0.07034199726402185,0.1623376623376623,0.1379310344827586,0.024406627854903717,0.008834612593516922
0,2,0.1939655172413793,0.0482233502538071,0.1330232558139535,0.2207792207792207,0.0470588235294117,0.1319758672699849,0.1275067279509547,0.13249956154196918,0.2207792207792207,0.1939655172413793,0.026813703537841377,-0.004992833591014489
0,3,0.8060344827586207,0.5609137055837563,0.001860465116279,0.8116883116883117,0.6,0.4426847662141779,0.6946591250076722,0.22227261566522846,0.8116883116883117,0.8060344827586207,0.005653828929691018,0.47238650934244375
0,4,0.2456896551724137,0.1548223350253807,0.2902325581395348,0.3441558441558441,0.1676470588235294,0.2812971342383107,0.22807872329429196,0.2857648461889227,0.3441558441558441,0.2902325581395348,0.0539232860163093,-0.057686122894630765
0,5,0.1379310344827586,0.0101522842639593,0.1051162790697674,0.2142857142857142,0.0588235294117647,0.0731523378582202,0.1052981406110492,0.0891343084639938,0.2142857142857142,0.1379310344827586,0.0763546798029556,0.0161638321470554
0,6,0.2068965517241379,0.1446700507614213,0.12,0.2337662337662337,0.1117647058823529,0.1282051282051282,0.17427438553353644,0.1241025641025641,0.2337662337662337,0.2068965517241379,0.026869682042095805,0.050171821430972346
0,7,0.1163793103448275,0.0025380710659898,0.3720930232558139,0.2467532467532467,0.1852941176470588,0.1297134238310709,0.1377411864527807,0.2509032235434424,0.3720930232558139,0.2467532467532467,0.1253397765025672,-0.11316203709066172
0,8,0.1508620689655172,0.0050761421319796,0.1069767441860465,0.1558441558441558,0.0088235294117647,0.0437405731523378,0.08015147408835432,0.07535865866919214,0.1558441558441558,0.1508620689655172,0.004982086878638603,0.004792815419162183
0,9,0.0560344827586206,0.0101522842639593,0.0781395348837209,0.0909090909090909,0.0411764705882352,0.0641025641025641,0.0495680821299765,0.07112104949314249,0.0909090909090909,0.0781395348837209,0.012769556025369999,-0.02155296736316599
0,10,0.0517241379310344,0.0076142131979695,0.0688372093023255,0.0909090909090909,0.0147058823529411,0.0444947209653092,0.04123833109775898,0.056665965133817345,0.0909090909090909,0.0688372093023255,0.022071881606765403,-0.015427634036058367
0,11,0.0474137931034482,0.0685279187817258,0.0632558139534883,0.0649350649350649,0.088235294117647,0.0558069381598793,0.06727801773447148,0.059531376056683794,0.088235294117647,0.0685279187817258,0.019707375335921193,0.007746641677787686
1,0,0.625,0.5710659898477157,0.1627906976744186,0.6948051948051948,0.5970588235294118,0.3310708898944193,0.6219825020455806,0.24693079378441896,0.6948051948051948,0.625,0.06980519480519476,0.37505170826116163
1,1,0.0043103448275862,0.0025380710659898,0.4009302325581395,0.0844155844155844,0.1676470588235294,0.0897435897435897,0.06472776478317245,0.2453369111508646,0.4009302325581395,0.1676470588235294,0.23328317373461008,-0.18060914636769215
1,2,0.0086206896551724,0.0,0.0213953488372093,0.0324675324675324,0.0058823529411764,0.0150829562594268,0.0117426437659703,0.01823915254831805,0.0324675324675324,0.0213953488372093,0.011072183630323102,-0.006496508782347749
1,3,0.0474137931034482,0.0304568527918781,0.0511627906976744,0.0714285714285714,0.0058823529411764,0.0263951734539969,0.03879539256626852,0.03877898207583565,0.0714285714285714,0.0511627906976744,0.020265780730897,1.641049043287629e-05
1,4,0.5905172413793104,0.3527918781725888,0.0167441860465116,0.512987012987013,0.3529411764705882,0.284313725490196,0.45230932725237516,0.15052895576835382,0.5905172413793104,0.512987012987013,0.0775302283922974,0.30178037148402137
1,5,0.1206896551724138,0.0025380710659898,0.0976744186046511,0.1298701298701298,0.0088235294117647,0.0294117647058823,0.06548034638007452,0.0635430916552667,0.1298701298701298,0.1206896551724138,0.009180474697716004,0.0019372547248078242
1,6,0.2758620689655172,0.0786802030456852,0.1823255813953488,0.3376623376623376,0.0794117647058823,0.116892911010558,0.19290409359485555,0.1496092462029534,0.3376623376623376,0.2758620689655172,0.061800268696820426,0.04329484739190215
1,7,0.0646551724137931,0.0126903553299492,0.0260465116279069,0.0844155844155844,0.0147058823529411,0.0241327300150829,0.04411674862806695,0.0250896208214949,0.0844155844155844,0.0646551724137931,0.019760412001791308,0.01902712780657205
1,8,0.0862068965517241,0.1116751269035533,0.0474418604651162,0.0909090909090909,0.1205882352941176,0.0437405731523378,0.10234483741462147,0.045591216808727,0.1205882352941176,0.1116751269035533,0.008913108390564292,0.05675362060589447
1,9,0.0818965517241379,0.0456852791878172,0.0251162790697674,0.0519480519480519,0.1058823529411764,0.0218702865761689,0.07135305895029585,0.02349328282296815,0.1058823529411764,0.0818965517241379,0.0239858012170385,0.047859776127327704
1,10,0.0344827586206896,0.0304568527918781,0.04,0.1038961038961039,0.1352941176470588,0.0226244343891402,0.0760324582389326,0.0313122171945701,0.1352941176470588,0.1038961038961039,0.031398013750954884,0.044720241044362494
1,11,0.043103448275862,0.0,0.027906976744186,0.1103896103896103,0.0058823529411764,0.0105580693815987,0.039843852901662175,0.019232523062892352,0.1103896103896103,0.043103448275862,0.0672861621137483,0.020611329838769822
2,0,0.0,0.0025380710659898,0.2297674418604651,0.1103896103896103,0.2088235294117647,0.114630467571644,0.0804378027168412,0.17219895471605456,0.2297674418604651,0.2088235294117647,0.02094391244870039,-0.09176115199921336
2,1,0.0732758620689655,0.0279187817258883,0.0520930232558139,0.0519480519480519,0.0029411764705882,0.033182503770739,0.039020968053373475,0.04263776351327645,0.0732758620689655,0.0520930232558139,0.021182838813151597,-0.003616795459902976
2,2,0.8060344827586207,0.5532994923857868,0.001860465116279,0.8051948051948052,0.6029411764705882,0.4426847662141779,0.6918674892024502,0.22227261566522846,0.8060344827586207,0.8051948051948052,0.0008396775638154219,0.46959487353722174
2,3,0.0344827586206896,0.0101522842639593,0.3311627906976744,0.0909090909090909,0.138235294117647,0.0980392156862745,0.0684448569778467,0.21460100319197445,0.3311627906976744,0.138235294117647,0.1929274965800274,-0.14615614621412776
2,4,0.5,0.4949238578680203,0.0120930232558139,0.5844155844155844,0.4588235294117647,0.4668174962292609,0.5095407429238423,0.2394552597425374,0.5844155844155844,0.5,0.08441558441558439,0.27008548318130493
2,5,0.0129310344827586,0.0050761421319796,0.3506976744186046,0.0519480519480519,0.15,0.0746606334841629,0.054988807140697524,0.21267915395138376,0.3506976744186046,0.15,0.20069767441860462,-0.15769034681068622
2,6,0.0043103448275862,0.0025380710659898,0.1646511627906976,0.0584415584415584,0.05,0.0316742081447963,0.0288224935837836,0.09816268546774695,0.1646511627906976,0.0584415584415584,0.1062096043491392,-0.06934019188396336
2,7,0.0387931034482758,0.0076142131979695,0.013953488372093,0.0259740259740259,0.0,0.0082956259426847,0.0180953356550678,0.01112455715738885,0.0387931034482758,0.0259740259740259,0.012819077474249901,0.006970778497678949
2,8,0.0043103448275862,0.0,0.5832558139534884,0.0779220779220779,0.0852941176470588,0.0844645550527903,0.041881635099180727,0.3338601845031393,0.5832558139534884,0.0852941176470588,0.49796169630642956,-0.29197854940395856
2,9,0.5560344827586207,0.1852791878172588,0.3283720930232558,0.448051948051948,0.2735294117647059,0.143288084464555,0.36572375759813336,0.2358300887439054,0.5560344827586207,0.448051948051948,0.10798253470667268,0.12989366885422796
2,10,0.0043103448275862,0.0025380710659898,0.0195348837209302,0.0584415584415584,0.0147058823529411,0.0226244343891402,0.019998964172018872,0.0210796590550352,0.0584415584415584,0.0226244343891402,0.0358171240524182,-0.0010806948830163268
2,11,0.0474137931034482,0.0126903553299492,0.041860465116279,0.0454545454545454,0.0117647058823529,0.0135746606334841,0.029330849942573924,0.02771756287488155,0.0474137931034482,0.0454545454545454,0.001959247648902797,0.001613287067692374
3,0,0.0301724137931034,0.0101522842639593,0.0316279069767441,0.0324675324675324,0.0029411764705882,0.0218702865761689,0.018933351748795825,0.0267490967764565,0.0324675324675324,0.0316279069767441,0.0008396254907883025,-0.007815745027660675
3,1,0.0172413793103448,0.0101522842639593,0.1302325581395348,0.1038961038961039,0.1970588235294117,0.090497737556561,0.08208714774995493,0.1103651478480479,0.1970588235294117,0.1302325581395348,0.0668262653898769,-0.028278000098092976
3,2,0.0172413793103448,0.0101522842639593,0.3525581395348837,0.1103896103896103,0.2176470588235294,0.1040723981900452,0.08885758319686095,0.22831526886246445,0.3525581395348837,0.2176470588235294,0.1349110807113543,-0.13945768566560351
3,3,0.0086206896551724,0.015228426395939,0.2958139534883721,0.0324675324675324,0.0941176470588235,0.0935143288084464,0.03760857389436682,0.19466414114840924,0.2958139534883721,0.0941176470588235,0.20169630642954858,-0.1570555672540424
3,4,0.0387931034482758,0.0253807106598984,0.0548837209302325,0.0844155844155844,0.0705882352941176,0.0414781297134238,0.05479440845446905,0.04818092532182815,0.0844155844155844,0.0705882352941176,0.013827349121466798,0.006613483132640902
3,5,0.2241379310344827,0.1192893401015228,0.0632558139534883,0.1818181818181818,0.0676470588235294,0.0520361990950226,0.14822312794442918,0.057646006524255444,0.2241379310344827,0.1818181818181818,0.04231974921630091,0.09057712142017374
3,6,0.0172413793103448,0.0406091370558375,0.1162790697674418,0.0974025974025974,0.1558823529411764,0.1010558069381598,0.07778386667748902,0.1086674383528008,0.1558823529411764,0.1162790697674418,0.039603283173734585,-0.030883571675311777
3,7,0.0818965517241379,0.032994923857868,0.4232558139534884,0.1688311688311688,0.2411764705882353,0.1229260935143288,0.13122477875035252,0.27309095373390857,0.4232558139534884,0.2411764705882353,0.18207934336525308,-0.14186617498355605
3,8,0.0086206896551724,0.0050761421319796,0.4716279069767441,0.1168831168831168,0.1852941176470588,0.1191553544494721,0.0789685165793319,0.2953916307131081,0.4716279069767441,0.1852941176470588,0.28633378932968534,-0.21642311413377618
3,9,0.0344827586206896,0.0,0.3869767441860465,0.0909090909090909,0.1323529411764706,0.1251885369532428,0.06443619767656278,0.25608264056964464,0.3869767441860465,0.1323529411764706,0.2546238030095759,-0.19164644289308186
3,10,0.1896551724137931,0.0837563451776649,0.0632558139534883,0.1493506493506493,0.0794117647058823,0.2066365007541478,0.1255434829119974,0.13494615735381804,0.2066365007541478,0.1896551724137931,0.016981328340354707,-0.009402674441820635
3,11,0.3620689655172414,0.1979695431472081,0.1255813953488372,0.3571428571428571,0.2705882352941176,0.3288084464555053,0.296942400275356,0.22719492090217125,0.3620689655172414,0.3571428571428571,0.004926108374384286,0.06974747937318476
4,0,0.0129310344827586,0.0025380710659898,0.8018604651162791,0.0974025974025974,0.1058823529411764,0.1651583710407239,0.05468851397313055,0.48350941807850145,0.8018604651162791,0.1651583710407239,0.6367020940755552,-0.4288209041053709
