treebank,relation,layer,head,timestep,normalized_progress,visibility,accuracy_mean,accuracy_std,n_instances,n_seeds
UD_English-EWT,object_det_to_noun,17,15,39,0.625,both_masked,0.01947405828002843,0.016877155354593026,149,3
UD_English-EWT,object_det_to_noun,17,15,39,0.625,both_visible,0.03978431175011633,0.011955389005680392,251,3
UD_English-EWT,object_det_to_noun,17,15,39,0.625,receiver_visible_only,0.03878161639355669,0.02076168772182349,174,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,attender_visible_only,0.05043794304717131,0.026691222615351638,246,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,both_masked,0.049999999999999996,0.044095855184409845,66,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,both_visible,0.054461815608312425,0.011346481835146308,378,3
UD_English-EWT,object_det_to_noun,17,15,47,0.75,receiver_visible_only,0.03224610822831727,0.03558384291773755,153,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,attender_visible_only,0.08659952141147897,0.027146635965676902,182,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,both_masked,0.0,0.0,23,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,both_visible,0.0691464945608592,0.015216262791678937,529,3
UD_English-EWT,object_det_to_noun,17,15,55,0.875,receiver_visible_only,0.026580459770114945,0.03227965795784622,109,3
UD_English-EWT,object_det_to_noun,17,15,63,1.0,both_visible,0.10676156583629894,0.0,843,3
UD_English-EWT,object_to_verb,17,15,0,0.0,both_masked,0.3398601398601399,0.0,2145,3
UD_English-EWT,object_to_verb,17,15,8,0.125,attender_visible_only,0.16872852233676974,0.033215855474756584,223,3
UD_English-EWT,object_to_verb,17,15,8,0.125,both_masked,0.20283045050183934,0.010345260602450702,1627,3
UD_English-EWT,object_to_verb,17,15,8,0.125,both_visible,0.4444444444444444,0.09622504486493766,23,3
UD_English-EWT,object_to_verb,17,15,8,0.125,receiver_visible_only,0.5128205128205128,0.046225016352102445,272,3
UD_English-EWT,object_to_verb,17,15,16,0.25,attender_visible_only,0.10636982065553495,0.016957009526495256,394,3
UD_English-EWT,object_to_verb,17,15,16,0.25,both_masked,0.12837463367277346,0.009096579275929028,912,3
UD_English-EWT,object_to_verb,17,15,16,0.25,both_visible,0.26232298109051455,0.13575474544899763,251,3
UD_English-EWT,object_to_verb,17,15,16,0.25,receiver_visible_only,0.30464544298900126,0.0529990152723153,588,3
UD_English-EWT,object_to_verb,17,15,24,0.375,attender_visible_only,0.10215173851537489,0.009742181459018038,419,3
UD_English-EWT,object_to_verb,17,15,24,0.375,both_masked,0.12381099501826087,0.02122179269121311,800,3
UD_English-EWT,object_to_verb,17,15,24,0.375,both_visible,0.24387969529813502,0.09015835425103808,309,3
UD_English-EWT,object_to_verb,17,15,24,0.375,receiver_visible_only,0.2960060982685791,0.039764814447736926,617,3
UD_English-EWT,object_to_verb,17,15,32,0.5,attender_visible_only,0.06726453634572956,0.02662230917365627,416,3
UD_English-EWT,object_to_verb,17,15,32,0.5,both_masked,0.10960425757821807,0.02808584401223796,424,3
UD_English-EWT,object_to_verb,17,15,32,0.5,both_visible,0.24329838829598618,0.0006707913018320923,625,3
UD_English-EWT,object_to_verb,17,15,32,0.5,receiver_visible_only,0.2516374588043121,0.040532831636531735,680,3
UD_English-EWT,object_to_verb,17,15,39,0.625,attender_visible_only,0.08370720188902007,0.02750733460540139,405,3
UD_English-EWT,object_to_verb,17,15,39,0.625,both_masked,0.10984299516908212,0.02293819757680481,388,3
UD_English-EWT,object_to_verb,17,15,39,0.625,both_visible,0.22248624072744674,0.01604931870722939,688,3
UD_English-EWT,object_to_verb,17,15,39,0.625,receiver_visible_only,0.2506301238444096,0.038969575480951105,664,3
UD_English-EWT,object_to_verb,17,15,47,0.75,attender_visible_only,0.0914984355578415,0.028641741035061983,339,3
UD_English-EWT,object_to_verb,17,15,47,0.75,both_masked,0.14011470811697027,0.019707855553376112,207,3
UD_English-EWT,object_to_verb,17,15,47,0.75,both_visible,0.21132762150276743,0.016355175851119577,1021,3
UD_English-EWT,object_to_verb,17,15,47,0.75,receiver_visible_only,0.20612930003173904,0.08732319017559163,578,3
UD_English-EWT,object_to_verb,17,15,55,0.875,attender_visible_only,0.1248497185413558,0.035745174265778154,245,3
UD_English-EWT,object_to_verb,17,15,55,0.875,both_masked,0.12511255892790932,0.01999469255702606,74,3
UD_English-EWT,object_to_verb,17,15,55,0.875,both_visible,0.20396483998647066,0.01632334146052904,1384,3
UD_English-EWT,object_to_verb,17,15,55,0.875,receiver_visible_only,0.1800836320191159,0.04752012814876288,442,3
UD_English-EWT,object_to_verb,17,15,63,1.0,both_visible,0.22937062937062938,0.0,2145,3
UD_English-EWT,subject_adj_to_noun,17,15,0,0.0,both_masked,0.041666666666666664,0.0,288,3
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,attender_visible_only,0.13555555555555557,0.08441519961432259,41,3
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,both_masked,0.020029239766081872,0.01806428394278184,219,3
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,both_visible,0.0,,3,1
UD_English-EWT,subject_adj_to_noun,17,15,8,0.125,receiver_visible_only,0.12424242424242422,0.13797033257978436,25,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,attender_visible_only,0.08663003663003661,0.05730201138524924,88,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,both_masked,0.0,0.0,120,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,both_visible,0.17521367521367523,0.1673228371833495,37,3
UD_English-EWT,subject_adj_to_noun,17,15,16,0.25,receiver_visible_only,0.04524886877828055,0.040218074286495875,43,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,attender_visible_only,0.09327913279132789,0.0656838789713861,90,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,both_masked,0.007407407407407408,0.012830005981991684,103,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,both_visible,0.11604938271604938,0.10379184966411704,44,3
UD_English-EWT,subject_adj_to_noun,17,15,24,0.375,receiver_visible_only,0.0423076923076923,0.03903419832727777,51,3
UD_English-EWT,subject_adj_to_noun,17,15,32,0.5,attender_visible_only,0.0510044774360787,0.03231146565939908,88,3
UD_English-EWT,subject_adj_to_noun,17,15,32,0.5,both_masked,0.020833333333333332,0.036084391824351615,50,3
UD_English-EWT,subject_adj_to_noun,17,15,32,0.5,both_visible,0.10051406926406925,0.03299174350177813,96,3
UD_English-EWT,subject_adj_to_noun,17,15,32,0.5,receiver_visible_only,0.0,0.0,54,3
UD_English-EWT,subject_adj_to_noun,17,15,39,0.625,attender_visible_only,0.057539682539682536,0.022535350578572515,90,3
UD_English-EWT,subject_adj_to_noun,17,15,39,0.625,both_masked,0.0,0.0,45,3
UD_English-EWT,subject_adj_to_noun,17,15,39,0.625,both_visible,0.10552732291862726,0.021678819865929524,98,3
UD_English-EWT,subject_adj_to_noun,17,15,39,0.625,receiver_visible_only,0.0,0.0,55,3
UD_English-EWT,subject_adj_to_noun,17,15,47,0.75,attender_visible_only,0.030982905982905984,0.02725929662857494,78,3
UD_English-EWT,subject_adj_to_noun,17,15,47,0.75,both_masked,0.0,0.0,23,3
UD_English-EWT,subject_adj_to_noun,17,15,47,0.75,both_visible,0.10923076923076924,0.014836385786143005,141,3
UD_English-EWT,subject_adj_to_noun,17,15,47,0.75,receiver_visible_only,0.0,0.0,46,3
UD_English-EWT,subject_adj_to_noun,17,15,55,0.875,attender_visible_only,0.0,0.0,53,3
UD_English-EWT,subject_adj_to_noun,17,15,55,0.875,both_masked,0.16666666666666666,0.2886751345948129,9,3
UD_English-EWT,subject_adj_to_noun,17,15,55,0.875,both_visible,0.09225178312931485,0.018867992697092637,203,3
UD_English-EWT,subject_adj_to_noun,17,15,55,0.875,receiver_visible_only,0.0,0.0,23,3
UD_English-EWT,subject_adj_to_noun,17,15,63,1.0,both_visible,0.14583333333333334,0.0,288,3
UD_English-EWT,subject_det_to_noun,17,15,0,0.0,both_masked,0.04694835680751173,0.0,639,3
UD_English-EWT,subject_det_to_noun,17,15,8,0.125,attender_visible_only,0.07608695652173912,0.09661080888386508,134,3
UD_English-EWT,subject_det_to_noun,17,15,8,0.125,both_masked,0.028441558441558438,0.03546738742736182,416,3
UD_English-EWT,subject_det_to_noun,17,15,8,0.125,both_visible,0.0,,4,1
UD_English-EWT,subject_det_to_noun,17,15,8,0.125,receiver_visible_only,0.21507472384665363,0.3279974492164234,85,3
UD_English-EWT,subject_det_to_noun,17,15,16,0.25,attender_visible_only,0.10483578418361027,0.08396237571658068,236,3
UD_English-EWT,subject_det_to_noun,17,15,16,0.25,both_masked,0.0,0.0,192,3
UD_English-EWT,subject_det_to_noun,17,15,16,0.25,both_visible,0.23435843054082714,0.21936870633660768,142,3
UD_English-EWT,subject_det_to_noun,17,15,16,0.25,receiver_visible_only,0.031746031746031744,0.0549857399228215,69,3
UD_English-EWT,subject_det_to_noun,17,15,24,0.375,attender_visible_only,0.10566877107621846,0.08444618188858398,240,3
UD_English-EWT,subject_det_to_noun,17,15,24,0.375,both_masked,0.0,0.0,160,3
UD_English-EWT,subject_det_to_noun,17,15,24,0.375,both_visible,0.22742504409171074,0.16294456651930064,158,3
UD_English-EWT,subject_det_to_noun,17,15,24,0.375,receiver_visible_only,0.030303030303030304,0.0524863881081478,81,3
UD_English-EWT,subject_det_to_noun,17,15,32,0.5,attender_visible_only,0.08957159111957874,0.07652155136997132,179,3
UD_English-EWT,subject_det_to_noun,17,15,32,0.5,both_masked,0.0,0.0,86,3
UD_English-EWT,subject_det_to_noun,17,15,32,0.5,both_visible,0.27478970495919647,0.040569055977403304,290,3
UD_English-EWT,subject_det_to_noun,17,15,32,0.5,receiver_visible_only,0.0470959595959596,0.014652450013524592,84,3
UD_English-EWT,subject_det_to_noun,17,15,39,0.625,attender_visible_only,0.11763559640918131,0.0729081754452635,177,3
UD_English-EWT,subject_det_to_noun,17,15,39,0.625,both_masked,0.0,0.0,77,3
UD_English-EWT,subject_det_to_noun,17,15,39,0.625,both_visible,0.29711569171805513,0.0448858254454509,303,3
UD_English-EWT,subject_det_to_noun,17,15,39,0.625,receiver_visible_only,0.06559139784946237,0.03388376614320158,82,3
UD_English-EWT,subject_det_to_noun,17,15,47,0.75,attender_visible_only,0.09019112695583283,0.0797970456301031,139,3
UD_English-EWT,subject_det_to_noun,17,15,47,0.75,both_masked,0.0,0.0,44,3
UD_English-EWT,subject_det_to_noun,17,15,47,0.75,both_visible,0.3122333080931807,0.03270885561088553,380,3
UD_English-EWT,subject_det_to_noun,17,15,47,0.75,receiver_visible_only,0.10071428571428571,0.03781668997699728,76,3
UD_English-EWT,subject_det_to_noun,17,15,55,0.875,attender_visible_only,0.10170964937699217,0.04204377675367387,95,3
UD_English-EWT,subject_det_to_noun,17,15,55,0.875,both_masked,0.0,0.0,11,3
UD_English-EWT,subject_det_to_noun,17,15,55,0.875,both_visible,0.29671372517735906,0.02232156476211057,490,3
UD_English-EWT,subject_det_to_noun,17,15,55,0.875,receiver_visible_only,0.06481481481481481,0.05782405554072591,43,3
UD_English-EWT,subject_det_to_noun,17,15,63,1.0,both_visible,0.38028169014084506,0.0,639,3
UD_English-EWT,subject_to_verb,17,15,0,0.0,both_masked,0.0412262156448203,0.0,2838,3
UD_English-EWT,subject_to_verb,17,15,8,0.125,attender_visible_only,0.04743222234359363,0.0416386081298851,516,3
UD_English-EWT,subject_to_verb,17,15,8,0.125,both_masked,0.02359039430514204,0.005675325403189811,1989,3
UD_English-EWT,subject_to_verb,17,15,8,0.125,both_visible,0.0,0.0,16,3
UD_English-EWT,subject_to_verb,17,15,8,0.125,receiver_visible_only,0.15066598019322208,0.1878125465532647,317,3
UD_English-EWT,subject_to_verb,17,15,16,0.25,attender_visible_only,0.03984590839644873,0.05136134242638877,851,3
UD_English-EWT,subject_to_verb,17,15,16,0.25,both_masked,0.014763819187917129,0.00590039031496407,924,3
UD_English-EWT,subject_to_verb,17,15,16,0.25,both_visible,0.160648738451057,0.13103842155671488,611,3
UD_English-EWT,subject_to_verb,17,15,16,0.25,receiver_visible_only,0.05537254198971233,0.03007464874654915,452,3
UD_English-EWT,subject_to_verb,17,15,24,0.375,attender_visible_only,0.04216794488640607,0.05061324861495063,867,3
UD_English-EWT,subject_to_verb,17,15,24,0.375,both_masked,0.02395636527215475,0.01135824636779016,810,3
UD_English-EWT,subject_to_verb,17,15,24,0.375,both_visible,0.1399754422316872,0.10034588006245157,677,3
UD_English-EWT,subject_to_verb,17,15,24,0.375,receiver_visible_only,0.049692820268736504,0.009291985756465218,484,3
UD_English-EWT,subject_to_verb,17,15,32,0.5,attender_visible_only,0.03625285222105721,0.00907243977759512,743,3
UD_English-EWT,subject_to_verb,17,15,32,0.5,both_masked,0.02197169642734408,0.017725657885225708,399,3
UD_English-EWT,subject_to_verb,17,15,32,0.5,both_visible,0.13754331899668393,0.04375767471791753,1234,3
UD_English-EWT,subject_to_verb,17,15,32,0.5,receiver_visible_only,0.04168022446604985,0.004567357215340409,462,3
