depth,accuracy,n_train,n_test,lexical_baseline,majority_baseline,delta_vs_lexical
0,0.8764250527797326,7568,7105,0.7735397607318789,0.16819141449683322,0.10288529204785368
4,0.9404644616467277,7568,7105,0.7735397607318789,0.16819141449683322,0.1669247009148488
8,0.9390570021111893,7568,7105,0.7735397607318789,0.16819141449683322,0.16551724137931034
12,0.9151301900070373,7568,7105,0.7735397607318789,0.16819141449683322,0.1415904292751584
16,0.9107670654468684,7568,7105,0.7735397607318789,0.16819141449683322,0.13722730471498945
20,0.9303307529908516,7568,7105,0.7735397607318789,0.16819141449683322,0.15679099225897264
24,0.914567206192822,7568,7105,0.7735397607318789,0.16819141449683322,0.14102744546094304
28,0.8676988036593948,7568,7105,0.7735397607318789,0.16819141449683322,0.09415904292751587
